Record ID,Step Name,Relative Time(h:min:s.ms),Realtime,Auxiliary channel TU1 T(°C),Gap of Temperature
343,Rest,0:05:32.000,2019-11-15 19:34:21,35.5,0.0
344,Rest,0:05:33.000,2019-11-15 19:34:22,35.4,0.0
345,Rest,0:05:34.000,2019-11-15 19:34:23,35.4,0.0
346,Rest,0:05:35.000,2019-11-15 19:34:24,35.4,0.0
347,Rest,0:05:36.000,2019-11-15 19:34:25,35.4,0.0
348,Rest,0:05:37.000,2019-11-15 19:34:26,35.3,0.0
349,Rest,0:05:38.000,2019-11-15 19:34:27,35.4,0.0
350,Rest,0:05:39.000,2019-11-15 19:34:28,35.3,0.0
351,Rest,0:05:40.000,2019-11-15 19:34:29,35.3,0.0
352,Rest,0:05:41.000,2019-11-15 19:34:30,35.3,0.0
353,Rest,0:05:42.000,2019-11-15 19:34:31,35.3,0.0
354,Rest,0:05:43.000,2019-11-15 19:34:32,35.2,0.0
355,Rest,0:05:44.000,2019-11-15 19:34:33,35.2,0.0
356,Rest,0:05:45.000,2019-11-15 19:34:34,35.2,0.0
357,Rest,0:05:46.000,2019-11-15 19:34:35,35.2,0.0
358,Rest,0:05:47.000,2019-11-15 19:34:36,35.1,0.0
359,Rest,0:05:48.000,2019-11-15 19:34:37,35.1,0.0
360,Rest,0:05:49.000,2019-11-15 19:34:38,35.1,0.0
361,Rest,0:05:50.000,2019-11-15 19:34:39,35.1,0.0
362,Rest,0:05:51.000,2019-11-15 19:34:40,35.1,0.0
363,Rest,0:05:52.000,2019-11-15 19:34:41,35.1,0.0
364,Rest,0:05:53.000,2019-11-15 19:34:42,35.0,0.0
365,Rest,0:05:54.000,2019-11-15 19:34:43,35.0,0.0
366,Rest,0:05:55.000,2019-11-15 19:34:44,35.0,0.0
367,Rest,0:05:56.000,2019-11-15 19:34:45,35.0,0.0
368,Rest,0:05:57.000,2019-11-15 19:34:46,34.9,0.0
369,Rest,0:05:58.000,2019-11-15 19:34:47,34.9,0.0
370,Rest,0:05:59.000,2019-11-15 19:34:48,34.9,0.0
371,Rest,0:06:00.000,2019-11-15 19:34:49,34.9,0.0
372,Rest,0:06:01.000,2019-11-15 19:34:50,34.8,0.0
373,Rest,0:06:02.000,2019-11-15 19:34:51,34.9,0.0
374,Rest,0:06:03.000,2019-11-15 19:34:52,34.8,0.0
375,Rest,0:06:04.000,2019-11-15 19:34:53,34.8,0.0
376,Rest,0:06:05.000,2019-11-15 19:34:54,34.8,0.0
377,Rest,0:06:06.000,2019-11-15 19:34:55,34.8,0.0
378,Rest,0:06:07.000,2019-11-15 19:34:56,34.7,0.0
379,Rest,0:06:08.000,2019-11-15 19:34:57,34.7,0.0
380,Rest,0:06:09.000,2019-11-15 19:34:58,34.7,0.0
381,Rest,0:06:10.000,2019-11-15 19:34:59,34.7,0.0
382,Rest,0:06:11.000,2019-11-15 19:35:00,34.6,0.0
383,Rest,0:06:12.000,2019-11-15 19:35:01,34.6,0.0
384,Rest,0:06:13.000,2019-11-15 19:35:02,34.6,0.0
385,Rest,0:06:14.000,2019-11-15 19:35:03,34.6,0.0
386,Rest,0:06:15.000,2019-11-15 19:35:04,34.6,0.0
387,Rest,0:06:16.000,2019-11-15 19:35:05,34.6,0.0
388,Rest,0:06:17.000,2019-11-15 19:35:06,34.5,0.0
389,Rest,0:06:18.000,2019-11-15 19:35:07,34.5,0.0
